Id,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_CompanyCode,Values_EnerSource,Values_OperStartdate,Values_State,Date
Sistema,3C37,AGPE CASA TADEO ZIRENE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2021-08-12,PRUEBAS,2022-07-30
Sistema,3C39,AGPE JAIME AMIN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2021-08-12,PRUEBAS,2022-07-30
Sistema,3C3X,AUTOG INGENIO MARIA LUISA,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,DEPG,BAGAZO,2021-08-31,OPERACION,2022-07-30
Sistema,3C3Z,LA SIERPE,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,AAGG,RAD SOLAR,2021-09-25,OPERACION,2022-07-30
Sistema,3C4V,AUTOG TERMOTAME,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GSAG,GAS,2021-09-02,OPERACION,2022-07-30
Sistema,3C6Y,AGPE SULOGISTICA - TRI FIT,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,DCLC,RAD SOLAR,2021-09-01,OPERACION,2022-07-30
Sistema,3C71,AGPE TRI FIT BODEGA ACOPI,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,DCLC,RAD SOLAR,2021-09-01,OPERACION,2022-07-30
Sistema,3CC3,AGPE CASA RICHARD - MALIBU,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2021-09-09,OPERACION,2022-07-30
Sistema,3CCW,AGPE FIRPLAK,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2021-09-09,OPERACION,2022-07-30
Sistema,3CDR,AGPE COLHIELO META SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,PEEC,RAD SOLAR,2021-09-30,PRUEBAS,2022-07-30
Sistema,3CG9,LA CHORRERA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,HEMG,AGUA,2022-05-31,OPERACION,2022-07-30
Sistema,3CGB,AGPE MADOCO SIGLO XXI SEDE II,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2021-09-30,PRUEBAS,2022-07-30
Sistema,3CKF,AGPE COLUMBUS SCHOOL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2021-10-31,PRUEBAS,2022-07-30
